Emp ID,Name Prefix,First Name,Middle Initial,Last Name,Gender,E Mail,Father Name,Mother Name,Mother Maiden Name,Date of Birth,Time of Birth,Age in Yrs.,Weight in Kgs.,Date of Joining,Quarter of Joining,Half of Joining,Year of Joining,Month of Joining,Month Name of Joining,Short Month,Day of Joining,DOW of Joining,Short DOW,Age in Company (Years),Salary,Last % Hike,SSN,Phone No., Place Name,County,City,State,Zip,Region,User Name,Password
639892,Mr.,Jose,K,Hill,M,jose.hill@hotmail.com,Carlos Hill,Anna Hill,Hayes,10/8/94,5:23:39 AM,22.82,89,7/9/16,Q3,H2,2016,7,July,Jul,9,Saturday,Sat,1.05,129774,15%,171-86-3825,228-245-5000,Biloxi,Harrison,Biloxi,MS,39532,South,jkhill,a_!SKb6h3?w*Mad
704709,Dr.,Harold,Z,Nelson,M,harold.nelson@gmail.com,Richard Nelson,Pamela Nelson,Smith,12/24/84,9:00:17 PM,32.61,77,8/23/11,Q3,H2,2011,8,August,Aug,23,Tuesday,Tue,5.93,156194,0%,456-99-2066,217-555-9216,Carol Stream,Carol Stream,Carol Stream,IL,60351,Midwest,hznelson,z/-hEz3&^q5
428945,Dr.,Joe,W,Robinson,M,joe.robinson@gmail.com,Scott Robinson,Stephanie Robinson,Taylor,6/16/63,10:45:36 AM,54.15,68,8/3/16,Q3,H2,2016,8,August,Aug,3,Wednesday,Wed,0.98,50155,16%,025-92-3584,219-904-2161,Michigantown,Clinton,Michigantown,IN,46057,Midwest,jwrobinson,GO4$J8MiEh[A
193819,Mr.,Benjamin,R,Russell,M,benjamin.russell@charter.net,Gregory Russell,Elizabeth Russell,Nelson,4/17/77,5:41:11 PM,40.31,58,7/25/13,Q3,H2,2013,7,July,Jul,25,Thursday,Thu,4.01,117642,13%,121-98-7248,262-404-2252,Fremont,Waupaca,Fremont,WI,54940,Midwest,brrussell,Rd<Y8cp!@R;*%F
499687,Mr.,Patrick,F,Bailey,M,patrick.bailey@aol.com,Ralph Bailey,Laura Bailey,Henderson,9/27/82,1:12:41 PM,34.86,58,7/22/05,Q3,H2,2005,7,July,Jul,22,Friday,Fri,12.02,72305,5%,439-99-7721,319-812-6957,Macksburg,Madison,Macksburg,IA,50155,Midwest,pfbailey,K7&5aY/*
231469,Mr.,Ralph,L,Flores,M,ralph.flores@yahoo.com,Terry Flores,Michelle Flores,Moore,2/5/75,2:15:50 AM,42.5,80,4/14/09,Q2,H1,2009,4,April,Apr,14,Tuesday,Tue,8.29,118457,8%,302-15-0130,316-280-2864,Sabetha,Nemaha,Sabetha,KS,66534,Midwest,rlflores,7tP\LrSr}\qTqj
153989,Prof.,Jack,C,Alexander,M,jack.alexander@gmail.com,Samuel Alexander,Sharon Alexander,Walker,5/19/95,4:33:57 PM,22.21,61,1/5/17,Q1,H1,2017,1,January,Jan,5,Thursday,Thu,0.56,82965,23%,428-99-9413,702-603-3769,Las Vegas,Clark,Las Vegas,NV,89170,West,jcalexander,9L*-O1U.9mSUSh
301576,Hon.,Wayne,G,Watson,M,wayne.watson@gmail.com,Ronald Watson,Margaret Watson,Hayes,6/26/96,12:23:21 AM,21.1,87,7/19/17,Q3,H2,2017,7,July,Jul,19,Wednesday,Wed,0.02,92758,14%,011-94-6649,701-231-9370,Maida,Cavalier,Maida,ND,58255,Midwest,wgwatson,wM4J{]&j\-eGc
912990,Mr.,Joshua,T,Stewart,M,joshua.stewart@yahoo.ca,Todd Stewart,Martha Stewart,Jones,5/18/70,3:47:46 AM,47.23,68,9/2/02,Q3,H2,2002,9,September,Sep,2,Monday,Mon,14.91,184896,1%,755-07-3676,217-279-9342,New Douglas,Madison,New Douglas,IL,62074,Midwest,jtstewart,K?vi9BBznj
622406,Mr.,Thomas,Q,Lewis,M,thomas.lewis@gmail.com,Ryan Lewis,Lois Lewis,Price,10/4/67,8:28:14 PM,49.85,73,6/7/98,Q2,H1,1998,6,June,Jun,7,Sunday,Sun,19.15,73862,3%,467-99-2604,314-679-3697,Dutchtown,Cape Girardeau,Dutchtown,MO,63745,Midwest,tqlewis,y;OJd_Oa#4g|!G
969580,Prof.,Matthew,L,Turner,M,matthew.turner@gmail.com,Jose Turner,Kathy Turner,Cox,10/26/93,1:37:48 AM,23.77,56,2/7/16,Q1,H1,2016,2,February,Feb,7,Sunday,Sun,1.47,52237,9%,598-92-1988,236-972-7624,Heathsville,Northumberland,Heathsville,VA,22473,South,mlturner,I>tL>d[|lZdi_|^
263480,Hon.,Daniel,K,Cooper,M,daniel.cooper@yahoo.com,Louis Cooper,Julie Cooper,Murphy,1/1/90,7:24:56 PM,27.59,60,3/6/14,Q1,H1,2014,3,March,Mar,6,Thursday,Thu,3.4,153790,13%,181-86-2024,701-510-8162,Manning,Dunn,Manning,ND,58642,Midwest,dkcooper,d8p{Pwx2fsW0-Z
683826,Mr.,Roger,L,Roberts,M,roger.roberts@gmail.com,Antonio Roberts,Katherine Roberts,Brooks,7/7/69,3:46:56 PM,48.09,77,1/29/09,Q1,H1,2009,1,January,Jan,29,Thursday,Thu,8.5,129625,12%,120-98-6493,206-497-3141,Mount Vernon,Skagit,Mount Vernon,WA,98273,West,rlroberts,41:C_0ik|Jb0iTO
621833,Mr.,Gregory,X,Edwards,M,gregory.edwards@outlook.com,Jose Edwards,Helen Edwards,Howard,8/31/93,12:23:15 AM,23.92,64,9/30/15,Q3,H2,2015,9,September,Sep,30,Wednesday,Wed,1.83,169245,22%,010-94-6817,503-256-9654,Bonanza,Klamath,Bonanza,OR,97623,West,gxedwards,V^sVy*MO{
456747,Mr.,Roy,Z,Griffin,M,roy.griffin@yahoo.com,Benjamin Griffin,Wanda Griffin,Simmons,5/8/91,12:13:48 AM,26.24,62,8/23/12,Q3,H2,2012,8,August,Aug,23,Thursday,Thu,4.93,170895,19%,358-08-7660,219-506-9378,Liberty,Union,Liberty,IN,47353,Midwest,rzgriffin,qm&h<b.NsKaZ
278556,Prof.,Richard,Y,Mitchell,M,richard.mitchell@verizon.net,Peter Mitchell,Andrea Mitchell,Flores,7/28/93,6:30:29 AM,24.02,81,8/18/16,Q3,H2,2016,8,August,Aug,18,Thursday,Thu,0.94,122226,14%,013-94-5886,205-621-5884,Ohatchee,Calhoun,Ohatchee,AL,36271,South,rymitchell,RWeXJPOi:KpX<Rn
218791,Mr.,Aaron,N,Price,M,aaron.price@bp.com,Michael Price,Diana Price,Torres,2/10/69,3:42:13 AM,48.49,56,7/3/97,Q3,H2,1997,7,July,Jul,3,Thursday,Thu,20.08,54402,0%,491-29-5152,219-287-8926,Eckerty,Crawford,Eckerty,IN,47116,Midwest,anprice,uKxgV4uO&k@
726264,Hon.,Carl,N,Collins,M,carl.collins@yahoo.com,Gerald Collins,Phyllis Collins,Rodriguez,12/22/73,2:18:24 PM,43.63,90,6/9/07,Q2,H1,2007,6,June,Jun,9,Saturday,Sat,10.14,162159,7%,544-81-6171,479-740-7633,Wright,Jefferson,Wright,AR,72182,South,cncollins,XinULSmjAFL/
265813,Hon.,Jack,E,Campbell,M,jack.campbell@gmail.com,Philip Campbell,Wanda Campbell,Watson,1/4/85,2:25:34 PM,32.58,50,7/29/07,Q3,H2,2007,7,July,Jul,29,Sunday,Sun,10.01,186280,23%,047-15-1537,316-499-5737,Kalvesta,Kalvesta,Kalvesta,KS,67856,Midwest,jecampbell,rh\N>WRr4hl~l
247137,Mr.,Alan,E,Rivera,M,alan.rivera@apple.com,Bobby Rivera,Jennifer Rivera,Jackson,12/11/78,9:46:54 PM,38.65,80,6/7/06,Q2,H1,2006,6,June,Jun,7,Wednesday,Wed,11.15,154810,12%,399-31-7149,423-277-6819,Knoxville,Knox,Knoxville,TN,37901,South,aerivera,rSuD~3HS*{S
702813,Mr.,Ernest,D,Martinez,M,ernest.martinez@gmail.com,Ryan Martinez,Beverly Martinez,Hill,11/9/89,10:28:03 PM,27.73,53,1/24/16,Q1,H1,2016,1,January,Jan,24,Sunday,Sun,1.51,172098,8%,672-48-7749,479-951-4138,Uniontown,Crawford,Uniontown,AR,72955,South,edmartinez,qe?JNGBY{[\7;dD
