Emp ID,Name Prefix,First Name,Middle Initial,Last Name,Gender,E Mail,Father's Name,Mother's Name,Mother's Maiden Name,Date of Birth,Time of Birth,Age in Yrs.,Weight in Kgs.,Date of Joining,Quarter of Joining,Half of Joining,Year of Joining,Month of Joining,Month Name of Joining,Short Month,Day of Joining,DOW of Joining,Short DOW,Age in Company (Years),Salary,Last % Hike,SSN,Phone No. ,Place Name,County,City,State,Zip,Region,User Name,Password
687017,Ms.,Frances,P,Watson,F,frances.watson@outlook.com,Adam Watson,Diana Watson,Jones,1/30/61,11:52:21 PM,56.53,42,8/20/10,Q3,H2,2010,8,August,Aug,20,Friday,Fri,6.94,46945,22%,305-37-1946,406-530-8069,Trego,Lincoln,Trego,MT,59934,West,fpwatson,rjV1$at!wq53a$
241882,Ms.,Debra,G,Wood,F,debra.wood@hotmail.com,Martin Wood,Theresa Wood,Perry,10/30/69,6:58:21 AM,47.78,54,1/10/91,Q1,H1,1991,1,January,Jan,10,Thursday,Thu,26.56,84318,19%,342-11-6695,308-646-6219,Blair,Washington,Blair,NE,68009,Midwest,dgwood,iO8B@*yA*mG6b9o
758872,Mr.,Henry,Y,Jenkins,M,henry.jenkins@hotmail.com,Albert Jenkins,Beverly Jenkins,Murphy,11/6/84,2:58:05 PM,32.75,70,6/21/17,Q2,H1,2017,6,June,Jun,21,Wednesday,Wed,0.1,102384,11%,499-29-3125,314-731-7135,Riverside,Platte,Riverside,MO,64150,Midwest,hyjenkins,zPnRU5Bo
940922,Hon.,Melissa,X,Butler,F,melissa.butler@hotmail.com,Robert Butler,Anne Butler,Jackson,11/14/94,8:44:14 AM,22.72,55,2/5/17,Q1,H1,2017,2,February,Feb,5,Sunday,Sun,0.47,167631,30%,301-15-9149,308-827-9016,Maxwell,Lincoln,Maxwell,NE,69151,Midwest,mxbutler,hY3BqUR>6F
917937,Mr.,Todd,H,Hall,M,todd.hall@yahoo.com,Thomas Hall,Kathleen Hall,Morgan,8/31/91,4:54:02 AM,25.93,74,5/8/16,Q2,H1,2016,5,May,May,8,Sunday,Sun,1.22,163560,0%,633-31-1781,240-513-8668,Randallstown,Baltimore,Randallstown,MD,21133,South,thhall,Lgdb8q<0L@-/
917395,Hon.,Christopher,D,Nelson,M,christopher.nelson@aol.com,Jeffrey Nelson,Cynthia Nelson,Sanders,3/29/60,5:56:17 PM,57.37,62,11/8/97,Q4,H2,1997,11,November,Nov,8,Saturday,Sat,19.73,190765,0%,120-98-6155,480-946-9780,Willow Beach,Mohave,Willow Beach,AZ,86445,West,cdnelson,QKae{1EP1A[SeX
183071,Drs.,Andrea,P,Garcia,F,andrea.garcia@aol.com,Mark Garcia,Nicole Garcia,Howard,7/6/85,12:49:53 AM,32.08,52,4/18/10,Q2,H1,2010,4,April,Apr,18,Sunday,Sun,7.28,54179,25%,213-91-6792,219-624-3708,Granger,St. Joseph,Granger,IN,46530,Midwest,apgarcia,eI!^kXR]Q^V+
316110,Mr.,Jeremy,I,Sanchez,M,jeremy.sanchez@hotmail.com,Albert Sanchez,Patricia Sanchez,Ross,2/5/65,4:25:09 PM,52.51,52,4/2/06,Q2,H1,2006,4,April,Apr,2,Sunday,Sun,11.33,178847,1%,474-55-8883,423-974-2755,Alcoa,Blount,Alcoa,TN,37701,South,jisanchez,Yg#Z+:CDwDV<*xZ
293459,Mr.,Steven,J,Phillips,M,steven.phillips@hotmail.com,Jason Phillips,Gloria Phillips,Lewis,9/12/86,5:00:38 AM,30.9,58,3/27/15,Q1,H1,2015,3,March,Mar,27,Friday,Fri,2.34,90108,24%,578-53-9940,225-968-5952,Baton Rouge,East Baton Rouge,Baton Rouge,LA,70833,South,sjphillips,ht}X55$P&g1
732017,Ms.,Cynthia,J,Ramirez,F,cynthia.ramirez@btinternet.com,Walter Ramirez,Evelyn Ramirez,Smith,9/22/82,10:04:25 PM,34.87,47,2/18/09,Q1,H1,2009,2,February,Feb,18,Wednesday,Wed,8.44,90531,2%,355-08-4606,406-961-7340,Browning,Glacier,Browning,MT,59417,West,cjramirez,qP-#AhuNuz*Wb]
915638,Dr.,Jason,W,Anderson,M,jason.anderson@gmail.com,Brandon Anderson,Julia Anderson,Baker,1/3/74,6:47:06 PM,43.59,57,9/21/99,Q3,H2,1999,9,September,Sep,21,Tuesday,Tue,17.86,76636,19%,048-15-7937,217-856-6752,Hudson,McLean,Hudson,IL,61748,Midwest,jwanderson,a3Hlk+.V/TjD
478003,Hon.,Cynthia,X,White,F,cynthia.white@gmail.com,Nicholas White,Katherine White,Turner,6/15/63,12:19:06 PM,54.16,60,3/4/04,Q1,H1,2004,3,March,Mar,4,Thursday,Thu,13.41,186200,30%,364-39-4983,314-593-3092,Kansas City,Jackson,Kansas City,MO,64133,Midwest,cxwhite,mofyGR>.?Dwb4!
951225,Ms.,Margaret,N,Brooks,F,margaret.brooks@gmail.com,Johnny Brooks,Debra Brooks,Robinson,6/27/92,6:57:19 AM,25.1,56,8/26/16,Q3,H2,2016,8,August,Aug,26,Friday,Fri,0.92,43867,9%,057-02-6958,303-960-0117,Haswell,Kiowa,Haswell,CO,81045,West,mnbrooks,0*2k8uW&:{i{
883936,Mr.,Douglas,I,Flores,M,douglas.flores@gmail.com,Justin Flores,Kathy Flores,Ramirez,4/21/86,1:44:47 AM,31.29,61,9/10/09,Q3,H2,2009,9,September,Sep,10,Thursday,Thu,7.88,181793,20%,324-11-6837,303-836-4721,Eckert,Delta,Eckert,CO,81418,West,diflores,9||FLq|0tU|9>v
528673,Hon.,Paul,V,Watson,M,paul.watson@hotmail.com,Carl Watson,Anna Watson,Bennett,3/9/59,5:19:17 AM,58.43,60,6/26/95,Q2,H1,1995,6,June,Jun,26,Monday,Mon,22.1,145235,15%,286-15-9671,270-556-7711,Blue River,Floyd,Blue River,KY,41607,South,pvwatson,7q{iHhbgWZ7%
765850,Mrs.,Linda,R,Moore,F,linda.moore@gmail.com,Howard Moore,Diana Moore,Smith,8/18/91,8:22:55 AM,25.96,40,5/15/17,Q2,H1,2017,5,May,May,15,Monday,Mon,0.2,113256,18%,286-15-5442,215-793-7095,Albion,Erie,Albion,PA,16401,Northeast,lrmoore,0jj}jl_r/VmJ;
262382,Ms.,Cheryl,O,Miller,F,cheryl.miller@ntlworld.com,Gerald Miller,Christine Miller,Mitchell,4/20/85,5:42:38 PM,32.29,48,7/30/07,Q3,H2,2007,7,July,Jul,30,Monday,Mon,10,64143,3%,287-15-4772,270-880-3858,Bays,Breathitt,Bays,KY,41310,South,comiller,Nr-t/.^cWBO
870820,Ms.,Martha,G,Washington,F,martha.washington@aol.com,Todd Washington,Carolyn Washington,Reed,3/28/91,5:37:33 AM,26.35,54,3/3/17,Q1,H1,2017,3,March,Mar,3,Friday,Fri,0.4,116629,25%,416-67-0297,405-945-0242,Nardin,Kay,Nardin,OK,74646,South,mgwashington,ju$7I]eH8{-
806955,Mr.,William,G,Hernandez,M,william.hernandez@rediffmail.com,Peter Hernandez,Deborah Hernandez,Jones,7/22/67,8:22:32 AM,50.05,50,3/21/00,Q1,H1,2000,3,March,Mar,21,Tuesday,Tue,17.36,73734,22%,629-31-9010,239-276-0532,Mary Esther,Okaloosa,Mary Esther,FL,32569,South,wghernandez,BRB3DFywgZZ4
325319,Hon.,Carolyn,F,Price,F,carolyn.price@yahoo.com,Kevin Price,Patricia Price,Williams,5/30/76,1:24:46 AM,41.19,60,11/5/14,Q4,H2,2014,11,November,Nov,5,Wednesday,Wed,2.73,48736,2%,512-33-3410,217-409-4338,Wheaton,DuPage,Wheaton,IL,60189,Midwest,cfprice,K*$u@MAoH
623253,Mrs.,Ruby,Q,Stewart,F,ruby.stewart@gmail.com,Paul Stewart,Paula Stewart,Jackson,10/23/68,12:02:38 AM,48.79,48,7/2/17,Q3,H2,2017,7,July,Jul,2,Sunday,Sun,0.07,174774,7%,007-11-1727,218-445-2369,Margie,Koochiching,Margie,MN,56658,Midwest,rqstewart,C\RjCUPJd[Ld]
225925,Mr.,Paul,D,Cooper,M,paul.cooper@gmail.com,Nicholas Cooper,Helen Cooper,Hill,8/12/91,11:14:26 PM,25.98,68,9/8/14,Q3,H2,2014,9,September,Sep,8,Monday,Mon,2.89,73526,27%,613-87-0084,210-984-4722,Glidden,Colorado,Glidden,TX,78943,South,pdcooper,hW%ZbJ\fZ-
761821,Mr.,Ernest,G,Washington,M,ernest.washington@msn.com,Johnny Washington,Shirley Washington,Harris,10/28/84,11:37:48 AM,32.77,87,1/31/15,Q1,H1,2015,1,January,Jan,31,Saturday,Sat,2.49,176675,15%,178-86-1878,212-596-1659,Saranac Lake,Franklin,Saranac Lake,NY,12983,Northeast,egwashington,B\Wb^6W-
400173,Ms.,Dorothy,K,Edwards,F,dorothy.edwards@hotmail.co.uk,Dennis Edwards,Betty Edwards,Howard,1/19/84,1:51:05 AM,33.55,57,12/31/13,Q4,H2,2013,12,December,Dec,31,Tuesday,Tue,3.58,179017,1%,543-81-2192,215-902-6888,Philadelphia,Philadelphia,Philadelphia,PA,19132,Northeast,dkedwards,VWEIm3YKm65|D
802554,Mr.,Ryan,V,Alexander,M,ryan.alexander@shell.com,William Alexander,Elizabeth Alexander,Gray,8/1/93,6:26:20 PM,24.01,65,8/31/14,Q3,H2,2014,8,August,Aug,31,Sunday,Sun,2.91,106628,24%,017-94-7572,225-395-3347,Jarreau,Pointe Coupee,Jarreau,LA,70749,South,rvalexander,3N3]VFZx?MaC{
476433,Ms.,Lillian,N,Mitchell,F,lillian.mitchell@shaw.ca,Harry Mitchell,Marie Mitchell,Murphy,10/23/74,6:40:13 PM,42.79,55,12/7/99,Q4,H2,1999,12,December,Dec,7,Tuesday,Tue,17.65,149878,3%,505-59-3960,316-876-1484,Wichita,Sedgwick,Wichita,KS,67214,Midwest,lnmitchell,Ty/b@+;f
533952,Ms.,Kelly,R,Adams,F,kelly.adams@bp.com,Eric Adams,Janice Adams,Brooks,5/23/75,1:54:27 PM,42.21,53,7/4/13,Q3,H2,2013,7,July,Jul,4,Thursday,Thu,4.07,51878,15%,474-55-8101,405-418-0037,Meno,Major,Meno,OK,73760,South,kradams,OfK?#J|7&W\1T
623929,Prof.,Jimmy,R,Howard,M,jimmy.howard@yahoo.com,Nicholas Howard,Patricia Howard,Hayes,11/27/66,10:37:53 AM,50.7,87,12/12/07,Q4,H2,2007,12,December,Dec,12,Wednesday,Wed,9.63,120631,13%,610-87-0251,212-855-9316,Oriskany,Oneida,Oriskany,NY,13424,Northeast,jrhoward,0v+|SfA0Xv+Pf%
844177,Ms.,Margaret,T,Allen,F,margaret.allen@gmail.com,Michael Allen,Karen Allen,Morris,9/8/81,10:10:26 PM,35.91,43,5/17/13,Q2,H1,2013,5,May,May,17,Friday,Fri,4.2,180107,22%,137-25-8468,216-697-6987,Richmond Dale,Ross,Richmond Dale,OH,45673,Midwest,mtallen,oC1OHlW%Sk@%6
212893,Ms.,Janet,Y,Henderson,F,janet.henderson@ntlworld.com,Jerry Henderson,Julie Henderson,Cooper,12/24/79,10:43:47 AM,37.62,60,12/18/12,Q4,H2,2012,12,December,Dec,18,Tuesday,Tue,4.61,114481,5%,018-94-7340,239-769-6347,Miami,Miami-Dade,Miami,FL,33166,South,jyhenderson,g-oCs-L/za
185032,Mr.,Eugene,D,Perez,M,eugene.perez@exxonmobil.com,Jimmy Perez,Lois Perez,Hall,10/6/79,11:02:58 AM,37.84,59,12/8/14,Q4,H2,2014,12,December,Dec,8,Monday,Mon,2.64,122950,26%,192-86-6418,262-472-7112,Racine,Racine,Racine,WI,53490,Midwest,edperez,g]SJn<W_/#
867084,Ms.,Deborah,E,Smith,F,deborah.smith@yahoo.com,Richard Smith,Diana Smith,Bennett,10/31/77,8:14:09 PM,39.77,54,3/4/02,Q1,H1,2002,3,March,Mar,4,Monday,Mon,15.41,52767,28%,173-86-6203,907-279-8694,Atqasuk,North Slope,Atqasuk,AK,99791,West,desmith,C[WxHsB9
969964,Hon.,Janice,S,Parker,F,janice.parker@yahoo.com,Paul Parker,Alice Parker,Perez,1/12/80,8:38:06 AM,37.57,56,8/23/16,Q3,H2,2016,8,August,Aug,23,Tuesday,Tue,0.93,147641,25%,733-26-1976,314-842-5984,Whiteman Air Force Base,Johnson,Whiteman Air Force Base,MO,65305,Midwest,jsparker,8wUbWmuib
158666,Ms.,Rebecca,A,Stewart,F,rebecca.stewart@gmail.com,Roger Stewart,Carol Stewart,Cox,8/11/61,11:08:01 PM,56,55,4/10/83,Q2,H1,1983,4,April,Apr,10,Sunday,Sun,34.32,160043,9%,202-84-8294,209-233-7631,Independence,Inyo,Independence,CA,93526,West,rastewart,7ONuh3Zi^z#32r
489424,Dr.,Phillip,F,White,M,phillip.white@gmail.com,Harold White,Frances White,Carter,3/4/78,11:45:07 PM,39.43,82,1/5/16,Q1,H1,2016,1,January,Jan,5,Tuesday,Tue,1.56,181774,7%,447-27-9469,503-668-6592,Mapleton,Lane,Mapleton,OR,97453,West,pfwhite,8<Mc.5]eu.*C8.
639892,Mr.,Jose,K,Hill,M,jose.hill@hotmail.com,Carlos Hill,Anna Hill,Hayes,10/8/94,5:23:39 AM,22.82,89,7/9/16,Q3,H2,2016,7,July,Jul,9,Saturday,Sat,1.05,129774,15%,171-86-3825,228-245-5000,Biloxi,Harrison,Biloxi,MS,39532,South,jkhill,a_!SKb6h3?w*Mad
704709,Dr.,Harold,Z,Nelson,M,harold.nelson@gmail.com,Richard Nelson,Pamela Nelson,Smith,12/24/84,9:00:17 PM,32.61,77,8/23/11,Q3,H2,2011,8,August,Aug,23,Tuesday,Tue,5.93,156194,0%,456-99-2066,217-555-9216,Carol Stream,Carol Stream,Carol Stream,IL,60351,Midwest,hznelson,z/-hEz3&^q5
461593,Ms.,Nicole,O,Ward,F,nicole.ward@yahoo.com,Ralph Ward,Julia Ward,Lee,12/12/64,7:12:20 AM,52.66,60,1/23/89,Q1,H1,1989,1,January,Jan,23,Monday,Mon,28.53,95673,12%,196-84-2551,231-761-7861,Detroit,Wayne,Detroit,MI,48278,Midwest,noward,AUe6s0@:@]A3Ze
392491,Mrs.,Theresa,R,Murphy,F,theresa.murphy@gmail.com,George Murphy,Jacqueline Murphy,Peterson,12/30/87,5:56:10 AM,29.6,57,8/3/10,Q3,H2,2010,8,August,Aug,3,Tuesday,Tue,6.99,51015,11%,249-99-8801,907-356-1555,Mc Grath,Yukon-Koyukuk (CA),Mc Grath,AK,99627,West,trmurphy,V]PGw>4h9
495141,Drs.,Tammy,B,Young,F,tammy.young@comcast.net,Andrew Young,Brenda Young,Robinson,3/22/79,10:26:52 PM,38.38,55,4/25/15,Q2,H1,2015,4,April,Apr,25,Saturday,Sat,2.26,93650,7%,771-02-7046,231-290-3075,Alma,Gratiot,Alma,MI,48801,Midwest,tbyoung,d6!&xu12A1H^i![
